Label,Size,Period,Accuracy,Run Rate
有害垃圾_温度计,13,0.46875,0.5384615384615384,0.036057692307692304
有害垃圾_滴眼液瓶,96,3.359375,0.8333333333333334,0.034993489583333336
有害垃圾_玻璃灯管,28,1.046875,0.42857142857142855,0.037388392857142856
有害垃圾_电池,213,7.28125,0.8450704225352113,0.034184272300469484
有害垃圾_电池板,69,2.28125,0.6376811594202898,0.03306159420289855
有害垃圾_碘伏空瓶,80,2.640625,0.725,0.0330078125
有害垃圾_红花油,80,2.5625,0.9,0.03203125
有害垃圾_纽扣电池,52,1.703125,0.7884615384615384,0.03275240384615385
有害垃圾_胶水,72,2.578125,0.4583333333333333,0.035807291666666664
有害垃圾_药品包装,209,6.921875,0.8133971291866029,0.03311901913875598
有害垃圾_药片,47,1.71875,0.44680851063829785,0.036569148936170214
有害垃圾_药膏,43,1.453125,0.627906976744186,0.03379360465116279
有害垃圾_蓄电池,93,2.75,0.8172043010752689,0.02956989247311828
有害垃圾_血压计,8,0.265625,0.5,0.033203125
